"data_bulletin","country","confirmed_cases","probable_cases","total_cases","total_deaths"
2022-10-19,"Italy",888,0,888,0
2022-10-19,"Latvia",6,0,6,0
2022-10-19,"Lithuania",5,0,5,0
2022-10-19,"Luxembourg",55,0,55,0
2022-10-19,"Malta",33,0,33,0
2022-10-19,"Netherlands",1226,0,1226,0
2022-10-19,"Norway",92,0,92,0
2022-10-19,"Poland",179,22,201,0
2022-10-19,"Portugal",920,0,920,0
2022-10-19,"Republic of Moldova",2,0,2,0
2022-10-19,"Romania",41,0,41,0
2022-10-19,"San Marino",1,0,1,0
2022-10-19,"Serbia",40,0,40,0
2022-10-19,"Slovakia",14,0,14,0
2022-10-19,"Slovenia",47,0,47,0
2022-10-19,"Spain",7239,0,7239,2
2022-10-19,"Sweden",207,0,207,0
2022-10-19,"Switzerland",542,0,542,0
2022-10-19,"Turkey",12,0,12,0
2022-10-19,"Ukraine",5,0,5,0
2022-10-19,"United Kingdom",3491,149,3640,0
2022-10-19,"Total",24863,173,25036,4
